language,repo,path,func_name,original_code,original_comment,code_token_length
javascript,thlorenz/cardinal,settings.js,resolveTheme,"function resolveTheme(home_) {
  var themePath
  var settings = getSettings(home_)

  if (!settings || !settings.theme) return undefined

  try {
    // allow specifying just the name of a built-in theme or a full path to a custom theme
    themePath = utl.isPath(settings.theme) ? settings.theme : path.join(__dirname, 'themes', settings.theme)

    return require(themePath)
  } catch (e) {
    // Specified theme path is invalid
    console.error(e)
    return undefined
  }
}","home_ mainly to be used during tests Resolves the preferred theme from the .cardinalrc found in the HOME directory If it couldn't be resolved, undefined is returned",79
javascript,blaxk/ixband,src/style/style.js,,"function ( el, propStr ) {
        var css = ( el && el.style )? el.style.cssText : '';

        //setter
        if ( $B.string.is(propStr) ) {
            propStr = $B.string.trim( propStr );

            if ( css && css.charAt( css.length-1 ) != ';' ) css += ';';//Opera에서는 css 속성끝에 "";""처리를 하지 않으면 에러가 난다.
            el.style.cssText = css + ' ' + propStr;
            //getter
        } else {
            return css;
        }
    }","인라인스타일을 설정하거나 반환.
@param	{Element}	el			대상 Element
@param	{String}	propStr		""width:100px; z-index:2"" 표기법, 설정하지 않으면 cssText반환
@return  {String}",93
javascript,wunderbyte/grunt-spiritual-dox,src/js/libs/spiritual-gui.js,,"function(plugins, nuke) {
		if (nuke) {
			plugins.forEach(function(plugin) {
				this.$nukeallofit(plugin);
			}, this);
		} else {
			plugins.map(function(plugin) {
				plugin.ondestruct();
				return plugin;
			}).forEach(function(plugin) {
				plugin.$ondestruct();
			});
		}
	}","Nuke plugins in three steps to minimize access violations.
@param {gui.Spirit} spirit
@param {Array<String>} prefixes
@param {boolean} nuke",75
javascript,dagrejs/dagre,lib/layout.js,injectEdgeLabelProxies,"function injectEdgeLabelProxies(g) {
  _.forEach(g.edges(), function(e) {
    var edge = g.edge(e);
    if (edge.width && edge.height) {
      var v = g.node(e.v);
      var w = g.node(e.w);
      var label = { rank: (w.rank - v.rank) / 2 + v.rank, e: e };
      util.addDummyNode(g, ""edge-proxy"", label, ""_ep"");
    }
  });
}","/*
Creates temporary dummy nodes that capture the rank in which each edge's
label is going to, if it has one of non-zero width and height. We do this
so that we can safely remove empty ranks while preserving balance for the
label's position.",111
javascript,brisket/brisket,lib/metatags/Metatags.js,,"function(escape) {
        var pairs = this.pairs;
        var type = this.type;
        var names = Object.keys(pairs);
        var html = """";
        var escapeHtml = escape || IDENTITY;
        var name;
        var computedType;

        for (var i = 0, len = names.length; i < len; i++) {
            name = names[i];
            computedType = typeof type === ""function"" ? type(name) : type;

            html += asHtml(computedType, name, escapeHtml(pairs[name]));
        }

        return html;
    }",wawjr3d pass in escape strategy so client doesn't need to bundle escape-html,111
javascript,Lindurion/closure-pro-build,lib/option-validator.js,assertBoolean,"function assertBoolean(value, name, description) {
  if (!underscore.isBoolean(value)) {
    throw new Error(
        '<' + value + '> is not a boolean, ' + name + ': ' + description);
  }
}","Throws an Error if value isn't a boolean.
@param {*} value
@param {string} name The option name.
@param {string} description Description of the option.",40
javascript,SAP/openui5,src/sap.ui.fl/src/sap/ui/fl/Utils.js,,"function (sAppVersion, bDeveloperMode, sScenario) {
			return !!sAppVersion
				&& !!bDeveloperMode
				&& sScenario !== sap.ui.fl.Scenario.AdaptationProject
				&& sScenario !== sap.ui.fl.Scenario.AppVariant;
		}","Determines if a 'to' field is required in a validAppVersions object.

@param sAppVersion
@param bDeveloperMode
@param sScenario
@returns {boolean}
@private",43
javascript,clientIO/joint,docs/demo/layout/DirectedGraph/js/index.js,adjacencyListToCells,"function adjacencyListToCells(adjacencyList) {

        var elements = [];
        var links = [];

        _.each(adjacencyList, function(edges, parentElementLabel) {
            elements.push(makeElement(parentElementLabel));

            _.each(edges, function(childElementLabel) {
                links.push(makeLink(parentElementLabel, childElementLabel));
            });
        });

        // Links must be added after all the elements. This is because when the links
        // are added to the graph, link source/target
        // elements must be in the graph already.
        var cells = elements.concat(links);

        return cells;
    }",Helpers. --------,87
javascript,hapticdata/toxiclibsjs,lib/toxi/color/accessors.js,make,"function make( type, setters ){
		var name = type + 'Accessor', arry = type.toLowerCase(); //make HSV hsv etc
		exports[name] = function( comp ){
			this.component = comp;
			//compare() could easily be used in incorrect scope, bind it
			this.compare = bind( this.compare, this );
		};

		exports[name].prototype.compare = function( a, b ){
			var ca = a[arry][this.component],
				cb = b[arry][this.component];
			return numberComparator( ca, cb );
		};

		exports[name].prototype.getComponentValueFor = function( col ){
			return col[arry][this.component];
		};

		exports[name].prototype.setComponentValueFor = function( col, val ){
			col[ 'set'+setters[this.component] ]( val );
		};

	}",this will attach proper exported objects for each accessor,168
javascript,emmetio/emmet,lib/resolver/cssGradient.js,,"function(cssProp) {
			var value = cssProp.value();
			var gradients = [];
			var that = this;
			cssProp.valueParts().forEach(function(part) {
				var partValue = part.substring(value);
				if (linearGradient.isLinearGradient(partValue)) {
					var gradient = linearGradient.parse(partValue);
					if (gradient) {
						gradients.push({
							gradient: gradient,
							matchedPart: part
						});
					}
				}
			});
			
			return gradients.length ? gradients : null;
		}","Search for gradient definitions inside CSS property value
@returns {Array} Array of matched gradients",103
